<<<<<<< HEAD
Date,Open,High,Low,Close,Adj Close,Volume
2000/1/3,6961.72 ,7159.330078,6720.870117,6750.759766,6750.759766,43072500
2000/1/4,6747.24 ,6755.359863,6510.459961,6586.950195,6586.950195,46678400
2000/1/5,6585.85 ,6585.850098,6388.910156,6502.069824,6502.069824,52682800
2000/1/6,6501.45 ,6539.310059,6402.629883,6474.919922,6474.919922,41180600
2000/1/7,6489.94 ,6791.529785,6470.140137,6780.959961,6780.959961,56058900
2000/1/10,6785.47 ,6975.259766,6785.470215,6925.52002,6925.52002,42006200
2000/1/11,6926.04 ,6943.830078,6821.259766,6891.25,6891.25,43890000
2000/1/12,6878.92 ,6913.5,6783.220215,6912.810059,6912.810059,34683100
2000/1/13,6913.13 ,7106.450195,6898.689941,6955.97998,6955.97998,48116200
2000/1/14,6960.29 ,7207.450195,6960.290039,7173.220215,7173.220215,47040900
2000/1/17,7177.48 ,7297.040039,7112.970215,7258.899902,7258.899902,44872800
2000/1/18,7262.21 ,7306.47998,7053.859863,7072.120117,7072.120117,46792700
2000/1/19,7065.31 ,7110.189941,6987.120117,7091.040039,7091.040039,43646500
2000/1/20,7095.98 ,7230.75,7076.810059,7112.660156,7112.660156,46411600
2000/1/21,7103.70 ,7103.700195,6939.939941,6992.75,6992.75,47471900
2000/1/24,6987.59 ,7092.5,6921.970215,6931.990234,6931.990234,33473100
2000/1/25,6928.08 ,6928.080078,6809.640137,6809.640137,6809.640137,44769800
2000/1/26,6838.05 ,6980.930176,6838.049805,6969.370117,6969.370117,40597700
2000/1/27,6983.42 ,7169.870117,6944.649902,7126.129883,7126.129883,43804300
2000/1/28,7128.01 ,7214.580078,7040.490234,7066.600098,7066.600098,35825300
2000/1/31,7054.24 ,7054.240234,6816.540039,6835.600098,6835.600098,41254200
2000/2/1,6841.12 ,7052.220215,6841.120117,7050.459961,7050.459961,48053900
2000/2/2,7063.57 ,7172.049805,7038.709961,7171.950195,7171.950195,43122700
2000/2/3,7175.87 ,7354.560059,7134.419922,7354.259766,7354.259766,60250500
2000/2/4,7355.69 ,7491.790039,7338.149902,7444.609863,7444.609863,52464500
2000/2/7,7450.79 ,7450.790039,7270.399902,7296.319824,7296.319824,38538900
2000/2/8,7295.61 ,7570.549805,7263.189941,7549.879883,7549.879883,47194000
2000/2/9,7566.68 ,7676.560059,7526.080078,7629.109863,7629.109863,54626900
2000/2/10,7617.07 ,7709.27002,7496.419922,7709.27002,7709.27002,56564600
2000/2/11,7724.36 ,7812.089844,7586.259766,7611.549805,7611.549805,85476300
2000/2/14,7569.01 ,7660.390137,7542.299805,7644.799805,7644.799805,31358900
2000/2/15,7636.41 ,7699.970215,7396.129883,7396.129883,7396.129883,40408400
2000/2/16,7401.26 ,7596.899902,7342.649902,7490.319824,7490.319824,54339000
2000/2/17,7478.32 ,7637.459961,7394.02002,7580.529785,7580.529785,48894300
2000/2/18,7584.39 ,7658.879883,7543.5,7573.779785,7573.779785,52728400
2000/2/21,7568.34 ,7590.529785,7447.709961,7590.529785,7590.529785,24404000
2000/2/22,7580.38 ,7725.5,7540.359863,7607.939941,7607.939941,51082700
2000/2/23,7619.83 ,7772.279785,7619.830078,7698.970215,7698.970215,42673800
2000/2/24,7696.92 ,7813.200195,7587.080078,7640.529785,7640.529785,38686700
2000/2/25,7668.70 ,7776.839844,7640.689941,7738.680176,7738.680176,34635700
2000/2/28,7732.90 ,7747.370117,7492.22998,7587.129883,7587.129883,31880900
2000/2/29,7590.90 ,7700.359863,7590.899902,7644.549805,7644.549805,32169600
2000/3/1,7645.30 ,7769.009766,7618.600098,7727.930176,7727.930176,42756100
2000/3/2,7720.90 ,7950.660156,7639.930176,7945.77002,7945.77002,39182700
2000/3/3,7952.28 ,8022.47998,7874.569824,7960.029785,7960.029785,34621900
2000/3/6,7960.09 ,8030.589844,7925.200195,7975.779785,7975.779785,21754400
2000/3/7,7971.23 ,8136.160156,7922.319824,8064.970215,8064.970215,54968200
2000/3/8,8069.98 ,8097.680176,7949.379883,7987,7987,51946300
2000/3/9,7984.21 ,8084.919922,7877.189941,7949.149902,7949.149902,58145700
2000/3/10,7952.51 ,8076.310059,7952.509766,7975.950195,7975.950195,43501700
2000/3/13,7977.06 ,7991.069824,7630.310059,7693.850098,7693.850098,36691900
2000/3/14,7695.79 ,7757.029785,7630.100098,7650.049805,7650.049805,36090800
2000/3/15,7633.20 ,7633.200195,7411.759766,7414.459961,7414.459961,50854600
2000/3/16,7416.64 ,7648.279785,7416.640137,7583.959961,7583.959961,64686400
2000/3/17,7594.99 ,7834.540039,7574.52002,7710.919922,7710.919922,510195600
2000/3/20,7716.24 ,7887.970215,7716.240234,7872.379883,7872.379883,36561300
2000/3/21,7865.48 ,7865.47998,7735.740234,7807.930176,7807.930176,36723000
2000/3/22,7827.56 ,7949.720215,7787.089844,7798.620117,7798.620117,42040400
2000/3/23,7803.69 ,7873.029785,7677.080078,7694.779785,7694.779785,35765700
2000/3/24,7706.50 ,7932.419922,7706.5,7932.419922,7932.419922,37364200
2000/3/27,7932.71 ,7939.919922,7832.060059,7892.490234,7892.490234,27355300
2000/3/28,7891.15 ,8031.209961,7880.120117,7931.930176,7931.930176,36665900
2000/3/29,7930.82 ,7963.700195,7859.439941,7864.759766,7864.759766,34020800
2000/3/30,7834.56 ,7849.529785,7610.509766,7644.890137,7644.890137,37167300
2000/3/31,7649.88 ,7704.279785,7522.700195,7599.390137,7599.390137,31848800
2000/4/3,7599.78 ,7641.529785,7404.370117,7429.220215,7429.220215,33911400
2000/4/4,7431.42 ,7566.919922,7430.180176,7522.799805,7522.799805,36855400
2000/4/5,7502.09 ,7538.720215,7205.859863,7330.77002,7330.77002,60250600
2000/4/6,7345.01 ,7480.129883,7325.720215,7446.209961,7446.209961,39723900
2000/4/7,7470.39 ,7533.359863,7399.810059,7522.200195,7522.200195,32410500
2000/4/10,7534.91 ,7614.810059,7507.930176,7516.950195,7516.950195,25443200
2000/4/11,7513.12 ,7513.120117,7366.490234,7442.660156,7442.660156,30739300
2000/4/12,7438.26 ,7517.75,7414.379883,7443.069824,7443.069824,31079400
2000/4/13,7421.06 ,7450.390137,7302.819824,7449.060059,7449.060059,29740400
2000/4/14,7440.05 ,7440.049805,7168.899902,7214.830078,7214.830078,35422600
2000/4/17,7201.66 ,7201.660156,6890.959961,7187.140137,7187.140137,42838900
2000/4/18,7186.18 ,7305.029785,7094.919922,7196.490234,7196.490234,35278900
2000/4/19,7204.33 ,7305.939941,7146.52002,7216.709961,7216.709961,36723700
2000/4/20,7216.22 ,7242.799805,7157.950195,7157.950195,7157.950195,36197300
2000/4/21,null,null,null,null,null,null
2000/4/24,null,null,null,null,null,null
2000/4/25,7164.15 ,7317.060059,7096.379883,7280.509766,7280.509766,24567300
2000/4/26,7293.10 ,7444.279785,7293.100098,7388.549805,7388.549805,25812200
